name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
Лена,142926,2020-07-31 10:17:31,11149844,безопасным для людей раствором...,,0,0,5034329
Vincento Vegas,144927,2020-07-31 09:14:40,11149819,"Ну повесили и что из этого теперь трагедию делать.Постебались ребята.Лучше чинуш коррупционеров ищите.Хотя что их искать,они по телевизору мелькают каждый день.",,3,7,5034325
Mcke,18563,2020-07-31 09:56:14,11149841,А кто делает трагедию? Вполне спокойная статья. Только ты почему то расхорахорился,11149819,0,4,5034325
Ришуня,23035,2020-07-31 09:15:57,11149820,"Очень символично. Те кто умер от ковида-ангелы теперь. Царствие им небесное. И нам всем предупреждение беречь себя. Если он не мешает проезду, пусть бы висел.",,4,4,5034325
Adam Abbas,100965,2020-07-31 10:15:59,11149842,Что же этим они хотели сказать?,,0,0,5034325
Л. К,104259,2020-07-31 08:47:15,11149803,"Катится к 90ым. Почему об""единенная Европа и США имеют стабильную валюту, а мы нет. Зато у нас, где не создаётся добавленная стоимость миллиардеры.",,3,3,5034324
Standart,27250,2020-07-31 08:51:44,11149804,"Даже при  падении доллара к другим мировым валютам всё равно рубль и тенге падают. Это очень плохо, при развороте курса доллара тенге вообще рухнет.",,7,7,5034324
Патрон,159810,2020-07-31 09:22:20,11149825,Путин красавчик,,1,3,5034324
Патрон,159810,2020-07-31 10:38:10,11149853,"Путин считает, что повышение курса доллара к рублю это выгодно. Он сам так и говорил.",,1,1,5034324
Виктор Белый,169650,2020-07-31 08:02:10,11149781,Про СПИД так не орали. Обвиняют нас в беспечности. Маска что пвнацея? Задрали вы уже.,,1,1,5034320
Зоя Пахомова,126605,2020-07-31 08:38:03,11149796,"Смешались в кучу - кони, люди.<br>Пока определили, что ВИЧ приводит к СПИДу, прошло время.  <br>Маска - панацея, никто не знает что он бессимтомный носитель, моя маска, защищает ТЕБЯ. Я её ношу, а, ты нет. Отдельное спасибо за уважение к окружающим. Задери себя сам.",11149781,0,2,5034320
Стефан Андолини,158154,2020-07-31 10:33:30,11149850,"У нас наоборот. Старперам надо срочно встретиться, свадьбу провести, кудалык и все прочее. Молодежь даже пикнуть не может",,0,0,5034320
Патрон,159810,2020-07-31 06:38:11,11149740,Иманды болсын,,0,0,5034318
m_icas Муртазина,102809,2020-07-31 06:43:28,11149742,"Блин, почему умирают самые продвинутые ? Иманды болсын",,1,1,5034318
Аргын,141895,2020-07-31 06:56:13,11149747,Иманды болсын,,0,0,5034318
Дина D,128862,2020-07-31 06:59:54,11149752,Иманды Болсын! Действительно он был хорошим Человеком и он ушел в такой святой день.,,1,1,5034318
Bek,162880,2020-07-31 07:15:31,11149761,Иманды болсын! Такие люди достойны уважения!,,1,1,5034318
Бахыт Талысбаева,147895,2020-07-31 07:42:01,11149765,Иманы жолдас болсын,,0,0,5034318
